9,7,3,1,7,1.00000,1.55556,1.85185,0.77778,0.00000,0.00000,1.55556,0.00000,0.77778,0.55556,0.55556,0.55556,0.12963
9,6,3,2,7,1.14286,1.33333,1.88889,0.66667,0.11111,0.00000,1.33333,0.05556,0.66667,0.55556,0.40741,0.50000,0.00000
3,2,1,1,2,1.00000,1.33333,1.66667,0.66667,0.00000,0.00000,1.33333,0.00000,0.66667,0.66667,0.66667,0.66667,0.00000
33,72,1,3,86,1.25581,4.24242,7.13682,2.18182,0.72727,0.12121,4.36364,0.00067,2.18182,0.69697,0.40224,0.54331,0.15154
35,78,1,7,210,2.34286,4.34286,7.36786,2.22857,15.31429,0.11429,4.45714,0.00718,2.22857,1.68571,0.28560,0.99274,0.22864
14,16,1,4,24,1.50000,2.28571,3.01786,1.14286,0.85714,0.00000,2.28571,0.00549,1.14286,0.92857,0.42532,0.62421,0.07143
8,7,2,3,11,1.45455,1.75000,2.25000,0.87500,0.62500,0.00000,1.75000,0.05208,0.87500,1.12500,0.48958,0.85417,0.10417
11,11,2,3,16,1.37500,2.00000,2.37879,1.00000,0.54545,0.00000,2.00000,0.06667,1.00000,1.00000,0.53788,0.80303,0.10606
2,1,1,1,1,1.00000,1.00000,1.00000,0.50000,0.00000,0.00000,1.00000,0.00000,0.50000,0.50000,0.50000,0.50000,0.00000
33,65,3,10,299,3.90635,3.75758,4.14419,1.96970,37.48485,0.18182,3.93939,0.03483,1.96970,3.24242,0.44721,2.08752,0.21043
32,42,4,5,79,1.74684,2.62500,2.90260,1.31250,2.25000,0.00000,2.62500,0.01052,1.31250,1.37500,0.51962,1.00920,0.21510
21,54,2,2,64,1.18750,4.95238,8.48962,2.57143,0.57143,0.19048,5.14286,0.00738,2.57143,0.57143,0.38447,0.49964,0.28302
19,41,2,2,45,1.08889,4.31579,6.85526,2.15789,0.21053,0.00000,4.31579,0.00088,2.15789,0.47368,0.29862,0.33519,0.23525
10,13,2,2,18,1.27778,2.60000,4.04286,1.30000,0.50000,0.00000,2.60000,0.01190,1.30000,0.60000,0.34571,0.48333,0.33190
4,2,2,1,2,1.00000,1.00000,1.00000,0.50000,0.00000,0.00000,1.00000,0.00000,0.50000,0.50000,0.50000,0.50000,0.00000
